,code,total_dur,dur_1,departure_1,arrival_1,carriercode_1,dep_date,transfer,dur_2,departure_2,arrival_2,carriercode_2,arr_date,bookable_seats,currency,total,dest,ontime_proba
18341,73W,0 days 12:50:00,0 days 01:20:00,LHR,AMS,KL,2022-03-10,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-10,9,EUR,614.89,ICN,0.78138173
18342,E90,0 days 13:35:00,0 days 01:20:00,LHR,AMS,KL,2022-03-10,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-10,9,EUR,614.89,ICN,0.78138173
18343,E90,0 days 14:15:00,0 days 01:20:00,LHR,AMS,KL,2022-03-10,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-10,9,EUR,614.89,ICN,0.78138173
18344,73H,0 days 14:55:00,0 days 01:15:00,LHR,AMS,KL,2022-03-10,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-10,9,EUR,614.89,ICN,0.78138173
18345,73W,0 days 16:35:00,0 days 01:15:00,LHR,AMS,KL,2022-03-10,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-10,9,EUR,614.89,ICN,0.78138173
18346,73H,0 days 18:55:00,0 days 01:20:00,LHR,AMS,KL,2022-03-10,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-10,9,EUR,614.89,ICN,0.78138173
18347,73J,0 days 20:40:00,0 days 01:25:00,LHR,AMS,KL,2022-03-10,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-10,9,EUR,614.89,ICN,0.78138173
18348,73W,0 days 22:00:00,0 days 01:25:00,LHR,AMS,KL,2022-03-10,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-10,9,EUR,614.89,ICN,0.78138173
18349,73H,1 days 00:10:00,0 days 01:30:00,LHR,AMS,KL,2022-03-10,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-10,9,EUR,614.89,ICN,0.78138173
18350,73H,1 days 10:15:00,0 days 01:10:00,LHR,AMS,KL,2022-03-10,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-11,9,EUR,614.89,ICN,0.7784878
18351,320,0 days 14:10:00,0 days 01:25:00,LHR,CDG,AF,2022-03-10,Y,0 days 10:55:00,CDG,ICN,AF,2022-03-10,9,EUR,615.87,ICN,0.78138173
